FB6	49.50	150.60	90.00	SAMACSYS_PARTS_BLM18PG121SN1D	SAMACSYS_PARTS_BLM18AG102BH1D
J18	61.90	202.91	180.00	ZX62-B-5PA_33_	ZX62B5PA33
J7	94.14	211.50	180.00	EDGE-LIBRARY_HDMI_CONNECTOR_RT_SMA	EDGE-LIBRARY_STEWART_SS-53000-001
L1	94.00	81.27	180.00	EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y	EDGE-LIBRARY_SRN6045TA-3R3Y_IND_SRN6045TA-3R3Y
L2	76.20	52.17	180.00	EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y	EDGE-LIBRARY_SRN6045TA-3R3Y_IND_SRN6045TA-3R3Y
L3	81.64	23.61	90.00	EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y	EDGE-LIBRARY_SRN6045TA-3R3Y_IND_SRN6045TA-3R3Y
L4	22.00	77.60	90.00	EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y	EDGE-LIBRARY_SRN6045TA-3R3Y_IND_SRN6045TA-3R3Y
L5	44.70	65.30	90.00	EDGE-LIBRARY_SRN6045TA-3R3Y_SRN6045TA-3R3Y	EDGE-LIBRARY_SRN6045TA-3R3Y_IND_SRN6045TA-3R3Y
L7	30.30	144.60	90.00	3.3uH 1.5A 70m	INDPM3030X150N
LED1	20.81	97.37	270.00	LTST-S270KGKT	LED_CHIP-LED0603
LED2	20.91	100.95	270.00	LTST-S270KGKT	LED_CHIP-LED0603
LED3	21.01	94.72	270.00	LTST-S270KGKT	LED_CHIP-LED0603
LED4	20.80	104.80	270.00	LTST-S270KGKT	LED_CHIP-LED0603
MOD1	122.70	169.90	180.00	EDGE-LIBRARY_RPI-CM4	EDGE-LIBRARY_RPI-CM4
Q2	27.71	27.60	90.00	RQ3E120ATTB	RQ3E100ATTB
R1	35.30	84.10	90.00	309k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R10	100.03	80.42	270.00	10.5k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R11	83.13	53.87	270.00	15.8k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R12	102.97	76.18	90.00	69.8k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R13	102.95	73.84	90.00	22k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R14	86.25	50.39	90.00	115k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R15	86.45	47.24	90.00	22.1k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R16	61.84	88.25	180.00	15k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R17	43.32	99.19	180.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R18	37.80	101.15	180.00	470	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R19	123.85	35.86	90.00	510k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R2	31.10	79.80	270.00	15.8k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R20	121.58	39.15	0.00	510k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R21	55.15	185.17	180.00	36k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R22	55.16	183.35	180.00	36k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R23	55.14	181.55	180.00	36k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R24	63.25	196.50	90.00	2.2k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R25	46.52	199.55	0.00	2.2k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R26	39.85	192.12	270.00	12k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R27	49.95	197.70	270.00	36k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R28	61.20	70.40	90.00	115k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R29	30.96	28.55	180.00	12k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R3	32.40	84.10	270.00	22.1k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R30	80.21	16.25	180.00	37.4k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R31	77.90	14.85	0.00	309k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R32	74.44	12.45	0.00	22.1k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R33	34.60	140.00	270.00	10k	EDGE-LIBRARY_TUTORIAL---FUSION-360_RESC1005X40
R34	129.10	146.60	0.00	 	EDGE-LIBRARY_0805
R35	129.50	144.40	0.00	 	EDGE-LIBRARY_0805
